id,full_name,neo,pha,moid,e,a,q,i,diameter,albedo,class,H
bK16R41C,       (2016 RC41),Y,N,0.227728,0.4402518333466493,2.194405819443844,1.228314634327135,5.255445083082338,0.0750722360083508,,AMO,23.3
bK16R41L,       (2016 RL41),Y,N,0.405692,0.4261703594458358,2.079685211506084,1.193385017384347,40.28260554511559,0.7479616851726567,,AMO,18.308
bK16R41M,       (2016 RM41),Y,N,0.0465704,0.6475174044271589,2.992051723261921,1.054646157503554,0.7372632725286768,0.02988679546440889,,AMO,25.3
bK16R41N,       (2016 RN41),Y,N,0.00016283,0.3161667593070364,1.013701678339651,0.6932029037948998,9.5757148483853,0.002137368238356171,,APO,31.028
bK16R41P,       (2016 RP41),Y,N,0.292482,0.3310877855328356,1.929129754240573,1.290418455903558,4.272716503377115,0.1092645675979467,,AMO,22.485
bK16R41Q,       (2016 RQ41),Y,N,0.147026,0.6839708209882827,2.08501966652715,0.6589270534358598,10.19802264938772,0.34314632447397714,,APO,20.0
bK16S00A,       (2016 SA),Y,N,0.203533,0.5598341529486449,1.533626482752382,0.6750499998410927,15.45531724971691,0.24858753701650987,,APO,20.7
bK16S00B,       (2016 SB),Y,N,0.0399781,0.6306031693423665,2.558402674481635,0.9450658394995292,14.48717565033334,0.08231506991887196,,APO,23.1
bK16S00C,       (2016 SC),Y,N,0.0038954,0.3284821770166184,1.475392321719799,0.9907522399276764,2.670343604794138,0.010362853329448146,,APO,27.6
bK16S00D,       (2016 SD),Y,N,0.0829378,0.709345378312773,2.82598759817215,0.8213863562395214,6.366106557191658,0.5963199670531791,,APO,18.8
bK16S00E,       (2016 SE),Y,N,0.0830804,0.06996744196923507,1.158595462499179,1.077531501710949,16.66766510260046,0.023739925482809593,,AMO,25.8
bK16S00F,       (2016 SF),Y,N,0.029613,0.6084437729805884,2.132738979128725,0.8350872278848753,5.621895137903126,0.047367378676019346,,APO,24.3
bK16S00G,       (2016 SG),Y,N,0.00625593,0.5864788248944248,1.746983697273416,0.7224147513867852,5.852796500637663,0.016424015696315356,,APO,26.6
bK16S00H,       (2016 SH),Y,N,0.0528847,0.5096830790744814,1.692683764178541,0.8299514913526391,20.4717454357641,0.049599734457997334,,APO,24.2
bK16S00J,       (2016 SJ),Y,N,0.000639099,0.5471061373047563,1.829302211260837,0.8284797444948709,1.617096192204058,0.005438502736768578,,APO,29.0
bK16S00K,       (2016 SK),Y,N,0.0630758,0.2009634083470631,1.330702906713377,1.063280315082913,16.4528293337656,0.02988679546440889,,AMO,25.3
bK16S01E,       (2016 SE1),Y,N,0.0600736,0.3680971541482728,1.528243559492915,0.9657014543981464,4.405007345609095,0.09896448099650541,,APO,22.7
bK16S01F,       (2016 SF1),Y,N,0.00269443,0.4482296786770597,1.820260885009302,1.004365933413162,9.60426175987108,0.039398469514814086,,APO,24.7
bK16S01G,       (2016 SG1),Y,N,0.340552,0.6942041072753407,2.134707057750894,0.6527846504305654,36.23264499301881,1.1898147579246918,,APO,17.3
bK16S01H,       (2016 SH1),Y,N,0.0895925,0.1791025375345228,1.288193631444759,1.057474883217191,21.13391218228964,0.09896448099650541,,AMO,22.7
bK16S01J,       (2016 SJ1),Y,Y,0.0377766,0.7010677689334903,2.757670343304284,0.8243565482698972,6.745303972603813,0.1366090123221672,,APO,22.0
bK16S01V,       (2016 SV1),Y,N,0.178105,0.2024918180501976,1.486516666933433,1.185509204484162,21.07909067836533,0.14978880340791204,,AMO,21.8
bK16S01W,       (2016 SW1),Y,N,0.00250444,0.2242901139266032,1.229523952916134,0.9537538854410866,5.362670181629612,0.006846669297430096,,APO,28.5
bK16S01X,       (2016 SX1),Y,N,0.00524057,0.1466285549887105,0.8791679621437579,0.7502568342622493,2.618165938087531,0.006538518417986328,,ATE,28.6
bK16S01Y,       (2016 SY1),Y,N,0.00439701,0.5813070668649576,1.814121136882187,0.7595596998634805,2.633921162776693,0.014978880340791204,,APO,26.8
bK16S01Z,       (2016 SZ1),Y,N,0.0111242,0.3994359596618081,1.380781709512891,0.8292478422901377,6.677660445211825,0.018857293101246106,,APO,26.3
bK16S02A,       (2016 SA2),Y,N,0.00207428,0.1848076527655561,1.1763907016999,0.9589846973835155,4.763129952349129,0.007861028149035876,,APO,28.2
bK16S02E,       (2016 SE2),Y,N,0.0783324,0.6114134904855449,2.779127700579706,1.079931532663202,9.34116299489366,0.04523549545486838,,AMO,24.4
bK16S02F,       (2016 SF2),Y,N,0.0770364,0.3139694393470269,1.564959654877244,1.073610149434719,11.79533857757584,0.039398469514814086,,AMO,24.7
bK16S02G,       (2016 SG2),Y,N,0.150753,0.8800053604281609,2.473272924512337,0.2967794931396463,24.90379881612196,0.26030310669964696,,APO,20.6
bK16S02H,       (2016 SH2),Y,N,0.00476318,0.3835550451299108,1.515404592109006,0.934163515392562,3.009026673486932,0.012458889999152152,,APO,27.2
bK16S02J,       (2016 SJ2),Y,N,0.00334731,0.4563258992029766,1.663203322605474,0.9042405708601527,6.035910225354483,0.01719805570924787,,APO,26.5
bK16S02K,       (2016 SK2),Y,N,0.00221442,0.3935889654302464,1.360627971040389,0.8250998155831472,15.47233380782635,0.02988679546440889,,APO,25.3
bK16S02L,       (2016 SL2),Y,N,0.00607696,0.7695813177198189,2.06348442340905,0.4754653617475927,1.810777974349838,0.028541668088449594,,APO,25.4
bK16S02M,       (2016 SM2),Y,N,0.0338116,0.242137246483577,1.144437844071525,0.8673268157364449,10.59785130841841,0.06538518417986329,,APO,23.6
bK16S02N,       (2016 SN2),Y,N,0.103402,0.7601979257521043,1.922953486766464,0.4611282348088216,7.460537117153794,0.22671452828784544,,APO,20.9
bK16S02O,       (2016 SO2),Y,N,0.0567282,0.4449396214845388,1.875995665892404,1.041290864403602,3.140515707160601,0.039398469514814086,,AMO,24.7
bK16S02P,       (2016 SP2),Y,N,0.0697539,0.1865408095126162,1.019219327975653,0.8290933294641699,13.15559794823908,0.05193729792671286,,APO,24.1
bK16S02Q,       (2016 SQ2),Y,N,0.0981072,0.1919547036122528,1.223970433973492,0.98902355208995,23.53717123267413,0.06846669297430096,,APO,23.5
bK16S02R,       (2016 SR2),Y,N,0.000364889,0.2054858920727618,1.061472039427896,0.8433545104957613,4.07086530556151,0.019746009945278104,,APO,26.2
bK16S02S,       (2016 SS2),Y,N,0.0315585,0.5508882661955752,2.280574107647331,1.024232591554972,5.752519663734247,0.031295316740540716,,AMO,25.2
bK16S02T,       (2016 ST2),Y,N,0.0484477,0.07018687284052139,1.137821029540201,1.057960929624592,3.426949967805096,0.03762524628723898,,AMO,24.8
bK16S02U,       (2016 SU2),Y,N,0.00169319,0.4197632390171485,0.8970303709228868,0.5204899969275417,4.763054821746758,0.010362853329448146,,ATE,27.6
